year;total;radio;television;internet;periodicals;out_of_home;direct_mail;yellow_pages;miscellaneous
1900;450;0;0;0;0;0;0;0;0
1901;500;0;0;0;0;0;0;0;0
1902;575;0;0;0;0;0;0;0;0
1903;650;0;0;0;0;0;0;0;0
1904;750;0;0;0;0;0;0;0;0
1905;775;0;0;0;0;0;0;0;0
1906;800;0;0;0;0;0;0;0;0
1907;850;0;0;0;0;0;0;0;0
1908;925;0;0;0;0;0;0;0;0
1909;1000;0;0;0;0;0;0;0;0
1910;1000;0;0;0;0;0;0;0;0
1911;1010;0;0;0;0;0;0;0;0
1912;1030;0;0;0;0;0;0;0;0
1913;1060;0;0;0;0;0;0;0;0
1914;1100;0;0;0;0;0;0;0;0
1915;1100;0;0;0;0;0;0;0;0
1916;1240;0;0;0;0;0;0;0;0
1917;1380;0;0;0;0;0;0;0;0
1918;1240;0;0;0;0;0;0;0;0
1919;1930;0;0;0;722;0;0;0;1208
1920;2480;0;0;0;825;0;0;0;1655
1921;1930;0;0;0;948;0;0;0;982
1922;2200;0;0;0;1018;0;0;0;1182
1923;2400;0;0;0;1095;0;0;0;1305
1924;2480;0;0;0;1177;0;0;0;1303
1925;2600;0;0;0;1266;0;0;0;1334
1926;2700;2;0;0;1334;0;0;0;1363
1927;2720;6;0;0;1406;0;0;0;1308
1928;2760;15;0;0;1468;0;0;0;1277
1929;2850;35;0;0;1534;0;0;0;1281
1930;2450;43;0;0;1352;0;0;0;1055
1931;2100;52;0;0;1193;0;0;0;856
1932;1620;63;0;0;971;0;0;0;586
1933;1325;76;0;0;792;0;0;0;457
1934;1650;93;0;0;865;0;0;0;692
1935;1720;113;0;0;952;31;282;0;342
1936;1930;122;0;0;1069;38;319;0;382
1937;2100;165;0;0;1140;44;333;0;418
1938;1930;167;0;0;1015;43;324;0;381
1939;2010;184;0;0;1048;44;333;0;401
1940;2110;215;0;0;1096;45;334;0;420
1941;2250;247;0;0;1153;53;353;0;444
1942;2160;260;0;0;1092;44;329;0;435
1943;2490;314;0;0;1325;42;322;0;487
1944;2700;393;0;0;1397;56;326;0;528
1945;2840;424;0;0;1499;72;290;0;555
1946;3340;455;0;0;1807;86;334;0;658
1947;4260;506;0;0;2217;121;579;0;837
1948;4870;562;0;0;2529;132;689;0;958
1949;5210;571;58;0;2672;131;756;0;1022
1950;5700;605;171;0;2857;142;803;0;1122
1951;6420;606;332;0;3142;149;924;0;1267
1952;7140;624;454;0;3474;162;1024;0;1402
1953;7740;611;606;0;3725;176;1099;0;1523
1954;8150;559;809;0;3793;187;1202;0;1600
1955;9150;545;1035;0;4286;192;1299;0;1793
1956;9910;567;1225;0;4550;201;1419;0;1948
1957;10270;618;1286;0;4684;199;1471;0;2012
1958;10310;620;1387;0;4502;192;1589;0;2020
1959;11270;656;1529;0;4998;193;1688;0;2206
1960;11960;693;1627;0;5265;203;1830;0;2342
1961;11860;683;1691;0;5136;180;1850;0;2320
1962;12430;736;1897;0;5263;171;1933;0;2430
1963;13100;789;2032;0;5463;171;2078;0;2567
1964;14150;846;2289;0;5883;175;2184;0;2773
1965;15250;917;2515;0;6329;180;2324;0;2985
1966;16630;1010;2823;0;6901;178;2461;0;3257
1967;16870;1048;2909;0;6930;191;2488;0;3304
1968;18090;1190;3231;0;7297;208;2612;0;3552
1969;19420;1264;3585;0;7874;213;2670;0;3814
1970;19550;1308;3596;0;7798;234;2766;0;3848
1971;20700;1445;3534;0;8314;261;3067;0;4079
1972;23210;1612;4091;0;9218;292;3420;0;4577
1973;24980;1723;4460;0;9859;308;3698;0;4932
1974;26620;1837;4854;0;10318;309;4054;0;5248
1975;27900;1980;5263;0;10692;335;4124;0;5506
1976;33300;2330;6721;0;12528;383;4786;0;6552
1977;37440;2634;7612;0;14224;418;5164;0;7388
1978;43330;3052;8955;0;16315;466;5987;0;8555
1979;48780;3310;10154;0;18490;540;6653;0;9633
1980;53570;3702;11488;0;19747;578;7596;2900;7559
1981;60460;4230;12889;0;22048;650;8944;3300;8399
1982;66670;4670;14713;0;23428;721;10319;3800;9019
1983;76000;5210;16879;0;26968;794;11795;4400;9954
1984;88010;5817;20043;0;30905;872;13800;4900;11673
1985;94900;6490;21287;0;32886;945;15500;5800;11992
1986;102370;6949;23199;0;34881;985;17145;6500;12711
1987;110270;7206;24262;0;37673;1025;19111;7300;13693
1988;118750;7798;26131;0;40075;1064;21115;7781;14786
1989;124770;8323;27459;0;42059;1111;21945;8330;15543
1990;129968;8726;29247;0;41959;1084;23370;8926;16656
1991;128352;8476;28606;0;39915;1077;24460;9182;16636
1992;133750;8654;31079;0;40827;1030;25392;9320;17448
1993;140956;9457;32471;0;42642;1090;27266;9517;18513
1994;153024;10529;36342;0;45630;1167;29638;9825;19893
1995;162930;11338;37828;0;48456;1263;32866;10236;20943
1996;175230;12269;42484;0;51220;1339;34509;10849;22560
1997;187529;13491;44130;600;55600;1455;36890;11423;23940
1998;206697;15073;49513;1383;59042;1576;39620;11990;28500
1999;222308;17215;52581;2832;62355;4780;41403;12652;28490
2000;247472;19295;60257;6507;66335;5176;44591;13228;32083
